Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
1.197,0.04,0.0,0.16754479423258317,0.9143152432962266,0.43557144856412744,0.5598317546106428,0.37736361492627474,0.0
1.217,0.1,0.0,0.16579586849891417,0.91556595084888,0.4276897924255378,0.5652875921821966,0.3727332902009238,0.021572325679382852
1.238,0.15,0.0,0.16406386364296938,0.9167878683667147,0.4198671282519476,0.5707233888556461,0.3681210588236682,0.04304214829057762
1.259,0.21,0.0,0.16234902218599218,0.9179805381926496,0.41210579662352853,0.5761370910969131,0.3635279612115575,0.0644012562958171
1.28,0.26,0.0,0.1606515613655567,0.9191435281993671,0.40440806658932255,0.5815266643292402,0.35895500056898216,0.08564154028449532
1.301,0.32,0.0,0.15897167311567958,0.9202764320658988,0.3967761339686171,0.5868900946712461,0.354403142164719,0.10675499991270905
1.322,1.06,0.0,0.1573095240939184,0.921378869517596,0.38921211978009995,0.5922253906540931,0.34987331268945443,0.1277337506683018
1.343,1.12,0.0,0.15566525575460852,0.9224504865300807,0.3817180687993462,0.59753058491635,0.3453663996943875,0.14857003045462672
1.364,1.17,0.0,0.15403898446724704,0.9234909554978825,0.37429594824483997,0.6028037358751418,0.3408832511112944,0.1692562059866936
1.467,1.23,0.0,0.15243080167889106,0.9244999753685632,0.3669476465923987,0.6080429293721676,0.3364246748542239,0.1897847789937902
1.488,1.28,0.27,0.1508407741192989,0.92547727174323,0.35967497251753616,0.6132462802931704,0.33199143850277946,0.2101483922230702
1.529,1.34,0.04,0.14926894404741278,0.9264225969444324,0.35247965396496983,0.6184119341594848,0.3275842690667623,0.2303398352389449
1.591,1.39,-0.14,0.1477153295376824,0.9273357300524907,0.34536333734418617,0.6235380686903842,0.32320385283181013,0.250352050013354
1.651,1.45,0.28,0.14617992480467862,0.928216476911297,0.3383275868497856,0.6286228953349178,0.3188508352855571,0.2701781363021556
1.733,1.5,0.07,0.144662700564452,0.9290646701045496,0.331373883905251,0.6336646607716812,0.3145258211237027,0.28981135680312686
1.754,1.56,-0.11,0.14316360443111226,0.9298801689032875,0.3245036267286921,0.6386616483747531,0.31022937433518094,0.30924514209149895
1.816,1.61,0.08,0.14168256134714438,0.9306628591855199,0.3177181300189456,0.6436121796441706,0.3059620183654283,0.32847309532944163
1.858,1.67,0.14,0.1402194740460437,0.9314126533286506,0.3110186247602738,0.6485146155994984,0.30172423635657525,0.34748899674635547
1.922,1.72,0.0,0.13877422354591956,0.9321294900753021,0.3044062581438619,0.6533673581349345,0.29751647146319044,0.3662868078872718
1.963,1.78,-0.1,0.13734666967273432,0.9328133343731199,0.29788209360422463,0.6581688513341687,0.29333912724200717,0.38486067562712156
2.025,1.83,0.22,0.13593665161182625,0.9334641771891685,0.29144711096849213,0.6629175827430686,0.28919256811388955,0.40320493594903084
2.086,1.89,-0.01,0.13454398848634866,0.934082035299572,0.28510220671642833,0.6676120845980389,0.28507711989614415,0.4213141174851277
2.168,1.94,-0.26,0.13316847996124967,0.9346669510550685,0.2788481943489331,0.67225093500761,0.2809930704031093,0.43918294481867504
2.189,2.0,0.16,0.13180990687139757,0.9352189921231702,0.27268580486264243,0.6768327590846506,0.2769406701127808,0.45680634154664523
2.249,2.05,0.04,0.13046803187243122,0.9357382512076253,0.26661568732810326,0.6813562300265263,0.2729201328970465,0.47417943310215954
2.311,2.11,-0.08,0.12914260011287576,0.9362248457458942,0.26063840956884415,0.685820070140581,0.2689316368128936,0.49129754933657094
2.372,2.16,0.1,0.12783333992602078,0.9366789175853781,0.2547544589384359,0.6902230518127355,0.26497532495177095,0.5081562268613095
2.413,2.22,0.29,0.1265399635400599,0.9371006326391339,0.24896424319245622,0.6945639984174884,0.26105130634417856,0.5247512111498458
2.475,2.27,0.2,0.12526216780504273,0.9374901805217335,0.24326809145223105,0.6988417851677557,0.25715965691648973,0.5410784584003294
2.535,2.33,0.15,0.12399963493525387,0.9378477741658648,0.23766625525722843,0.7030553399029467,0.253300420496979,0.5571341371597011
2.598,2.38,0.55,0.12275203326568816,0.9381736494202515,0.23215890970296965,0.707203643813677,0.24947360986806558,0.5729146297102989
2.639,2.44,0.35,0.1215190180213627,0.9384680646294399,0.2267461546613471,0.711285732101499,0.24567920786185168,0.5884165332201842
2.702,2.49,0.14,0.12030023209827924,0.9387313001959735,0.2214280160802763,0.715300694571995,0.24191716849611183,0.6036366606586527
2.764,2.55,0.52,0.1190953068549228,0.9389636581254278,0.21620444735963742,0.7192476761596868,0.2381874181479621,0.6185720414786633
2.807,2.6,0.48,0.11790386291324603,0.9391654615547403,0.21107533080053248,0.7231258773833635,0.2344898567624854,0.6332199220682058
2.847,2.66,0.32,0.11672551096812264,0.9393370542642544,0.20604047912494777,0.7269345547306175,0.2308243590935808,0.6475777659730175
2.908,2.71,0.37,0.11555985260423897,0.9394788001739426,0.2010996370628219,0.7306730209709233,0.22719077597428952,0.6616432538934356
2.968,2.77,0.6,0.11440648111935925,0.9395910828243522,0.19625248300334153,0.7343406453973175,0.22358893561386955,0.6754142834584251
3.03,2.82,0.43,0.11326498235287447,0.9396743048428323,0.19149863070715045,0.7379368539971753,0.22001864491890835,0.6888889687800018
3.092,2.88,0.29,0.11213493551850001,0.9397288873956563,0.18683763107602924,0.7414611295527985,0.21647969083575871,0.7020656397914798
3.153,2.93,0.73,0.11101591403992271,0.9397552696267306,0.18226897397643863,0.7449130116727612,0.21297184171159447,0.7149428413731767
3.194,2.99,0.51,0.10990748638814368,0.9397539080836856,0.1777920901131898,0.7482920967551898,0.20949484867140547,0.7275193322693984
3.278,3.04,0.31,0.1088092169192337,0.9397252761322208,0.17340635294942006,0.7515980378843818,0.20604844700826747,0.7397940838007663
3.299,3.1,0.59,0.10772066671121254,0.9396698633596392,0.16911108066899438,0.7548305446625666,0.20263235758425643,0.7517662783761702
3.361,3.15,0.63,0.10664139439878614,0.9395881749685434,0.16490553817751064,0.7579893829789514,0.1992462882394129,0.7634353078088458
3.403,3.21,0.51,0.1055709570046942,0.9394807311616986,0.16078893913821776,0.7610743747183418,0.19588993520617032,0.7748007714413555
3.464,3.26,0.47,0.10450891076640134,0.939348066519162,0.15676044803920192,0.7640853974118417,0.1925629845266659,0.7858624740845449
3.506,3.32,0.76,0.10345481195683685,0.9391907293688861,0.1528191822881554,0.7670223838324736,0.18926511347040764,0.796620423775778
3.568,3.37,0.53,0.10240821769788629,0.939009281152036,0.14896421433105236,0.7698853215386742,0.18599599194984262,0.8070748293619034
3.67,3.43,0.32,0.1013686867653577,0.9388042957842513,0.145194573791097,0.7726742523685061,0.18275528393142945,0.8172260979125824
3.691,3.48,0.72,0.10033578038416159,0.9385763590140334,0.14150924962433972,0.7753892718872893,0.1795426488398622,0.8270748319697812
3.732,3.54,0.52,0.09930906301245306,0.9383260677793723,0.13790719228840725,0.7780305287911974,0.1763577429531147,0.8366218266393742
3.794,3.59,0.35,0.09828810311347537,0.9380540295636856,0.13438731592082728,0.7805982242692495,0.1732002207859556,0.8458680665310068
3.857,3.65,0.56,0.09727247391382723,0.9377608617520932,0.130948500523422,0.7830926113262864,0.17006973645956625,0.8548147225525312
3.898,3.7,0.69,0.09626175414688966,0.9374471909890013,0.12758959414930565,0.7855139940696123,0.16696594505489923,0.8634631485654242
3.961,3.76,0.59,0.095255528780204,0.9371136525378468,0.12430941508920174,0.7878627269617163,0.16388850394742596,0.8718148779076542
4.003,3.81,0.52,0.09425338972566488,0.9367608896437573,0.12110675405397076,0.790139214041042,0.1608370741209609,0.8798716197905503
4.065,3.87,0.89,0.09325493653148208,0.9363895528997915,0.11798037635037936,0.7923439081123843,0.15781132145836232,0.8876352555762028
