Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
1.281,0.04,0.0,0.7827890130493664,0.3269061976337208,0.21013625872506392,0.021601769181094747,0.0,0.0
1.302,0.1,0.0,0.7742675525121626,0.3447331285149667,0.20692726542993453,0.02515828384299416,0.0037435888728926045,0.004754067205871966
1.322,0.15,0.0,0.7658348110175102,0.36246381438463293,0.2037477335604757,0.02867083489214172,0.007516545041450604,0.009471101099754945
1.343,0.21,0.0,0.7574934530476385,0.38008979266623627,0.2005986183242133,0.032138040951232294,0.011317370818180829,0.014149062086400812
1.364,0.26,0.0,0.7492460393735245,0.39760265057678223,0.19748084008063316,0.03555855822377913,0.015144538526774049,0.018785941622923855
1.384,0.32,0.0,0.7410950246957125,0.4149940324789421,0.1943952835900499,0.038931081449350445,0.018996491653873546,0.023379764055664397
1.404,1.06,0.0,0.7330427554550929,0.4322556471704885,0.1913427973184548,0.04225434479936542,0.022871646036180172,0.027928588412918152
1.425,1.12,0.0,0.7250914678154601,0.44937927510245923,0.1883241927982952,0.04552712271355097,0.026768391081047355,0.03243051015161576
1.507,1.17,0.0,0.7172432858192108,0.466356775517608,0.18534024404497965,0.04874823067732869,0.030685091018627174,0.0368836628561358
1.527,1.23,0.0,0.7095002197171053,0.48318009350076513,0.18239168702874467,0.05191652594056485,0.03462008618353228,0.041286219887528765
1.63,1.28,0.05,0.7018641644725799,0.4998412669327936,0.17947921920137014,0.05503090817827723,0.038571694323880495,0.04563639598151858
1.65,1.34,0.06,0.6943368984406524,0.5163324333398824,0.1766034990770892,0.05809032009404282,0.04253821193549833,0.0499324487937291
1.692,1.39,0.08,0.6869200822210108,0.532645836630032,0.1737651458669437,0.061093747966968426,0.04651791561900144,0.0541726803906529
1.753,1.45,0.14,0.679615257684417,0.5487738337087734,0.17096473916581137,0.06404022214313576,0.05050906345746791,0.05835543868495106
1.815,1.5,0.14,0.6724238471711395,0.5647089009664067,0.16820281869136594,0.06692881747240337,0.05450989641248584,0.06247911881376174
1.858,1.56,0.14,0.6653471528598098,0.5804436406292982,0.16547988407428166,0.06975865369137653,0.058518639736470444,0.06654216445878916
1.918,1.61,0.17,0.658386356304823,0.5959707869680341,0.16279639469901663,0.07252889575327197,0.06253350439928554,0.07054306910700756
2.0,1.67,0.17,0.6515425181401724,0.6112832123554717,0.16015276959450608,0.07523875410530795,0.06655268852733028,0.07448037725085184
2.023,1.72,0.13,0.6448165779473635,0.6263739331679765,0.15754938737406116,0.07788748491418353,0.07057437885333499,0.07835268552681389
2.084,1.78,0.13,0.638209354284764,0.6412361155234048,0.1549865862237001,0.08047439024021963,0.07459675217514009,0.08215864379141952
2.147,1.83,0.14,0.6317215448754535,0.6558630808496614,0.1524646639380738,0.08299881816077222,0.07861797682171061,0.08589695613361914
2.191,1.89,0.15,0.6253537269503581,0.6702483112779223,0.14998387800310445,0.08546016284354976,0.08263621412455359,0.0895663818226982
2.252,1.94,0.19,0.6191063577432013,0.6843854548548312,0.1475444457244063,0.08785786457050605,0.08664961989257806,0.09316573619091766
2.315,2.0,0.26,0.612979775133588,0.6982683305681876,0.14514654440050417,0.09019140971305321,0.0906563458883281,0.09669389145021406
2.357,2.05,0.27,0.6069741984343536,0.7118909331808316,0.14279031153983904,0.09246033065939598,0.09465454130348604,0.10014977744242574
2.42,2.11,0.28,0.6010897293191488,0.725247437867677,0.14047584512056124,0.09466420569481108,0.09864235423162189,0.10353238232266834
2.483,2.16,0.35,0.5953263528860747,0.7383322046511566,0.13820320389215343,0.09680265883570574,0.10261793313634077,0.10684075317563375
2.525,2.22,0.37,0.5896839388530636,0.7511397826306595,0.1359724077179942,0.09887535961826932,0.10657942831320533,0.11007399656470823
2.591,2.27,0.36,0.5841622428806204,0.7636649140018433,0.1337834379580566,0.10088202284250636,0.11052499334403976,0.11323127901391161
2.651,2.33,0.37,0.5787609080174769,0.7759025378620062,0.13163623789101203,0.10282240827246356,0.11445278654243925,0.11631182742275853
2.735,2.38,0.38,0.5734794662647263,0.7878477937980156,0.1295307131750931,0.10469632029352424,0.11836097238950646,0.11931492941424413
2.757,2.44,0.34,0.5683173402540969,0.7994960252536247,0.12746673234715342,0.10650360752771969,0.12224772295898097,0.12223993361629222
2.798,2.49,0.33,0.5632738450361537,0.8108427826734218,0.12544412735940702,0.10824416240814497,0.1261112193309977,0.12508624987717784
2.84,2.55,0.32,0.5583481899743656,0.8218838264211507,0.12346269415332205,0.10991792071376402,0.12994965299370795,0.1278533494156053
2.903,2.6,0.31,0.5535394807410694,0.8326151294706917,0.12152219327009049,0.11152486106607476,0.13376122723191466,0.1305407649062626
2.966,2.66,0.34,0.5488467214114146,0.8430328798685589,0.1196223504969908,0.11306500438924706,0.1375441585017368,0.13314809050177298
3.028,2.71,0.41,0.5442688166513385,0.853133482967318,0.11776285754880995,0.11453841333544747,0.14129667779016108,0.13567498179202017
3.091,2.77,0.43,0.5398045739955699,0.8629135634298336,0.11594337278333688,0.11594519167709426,0.14501703195823606,0.13812115570185382
3.112,2.82,0.43,0.5354527062116027,0.8723699670046916,0.11416352194981147,0.11728548366775894,0.14870348506666872,0.14048639032820254
3.196,2.88,0.48,0.5312118337455634,0.8814997620735602,0.1124228989691337,0.118559473373372,0.15235431968271104,0.14277052471763402
3.239,2.93,0.5,0.5270804872459319,0.8903002409716158,0.11072106674463345,0.11976738397529495,0.1559678381674306,0.14497345858540622
3.3,2.99,0.49,0.5230571101611752,0.8987689210824409,0.10905755800225486,0.12090947704671529,0.15954236394266433,0.14709515197709233
3.382,3.04,0.51,0.51914006140748,0.9069035457090882,0.10743187615907562,0.12198605180380688,0.16307624273713747,0.14913562487395243
3.464,3.1,0.53,0.5153276181028973,0.914702084723269,0.10584349621914814,0.12299744433319296,0.16656784381139075,0.1510949567433374
3.484,3.15,0.51,0.5116179783643313,0.922162734994938,0.10429186569572892,0.12394402679738234,0.17001556116128913,0.1529732860355359
3.546,3.21,0.48,0.5080092641638977,0.9292839206048369,0.1027764055590339,0.12482620661999176,0.17341781469997702,0.1547708096285871
3.567,3.26,0.48,0.5044995242412352,0.9360642928428429,0.10129651120869632,0.12564442565270775,0.17677305141819105,0.15648778222264548
3.609,3.32,0.46,0.5010867370683945,0.9425027299951323,0.09985155347010476,0.1263991593260469,0.18007974652283548,0.1581245156854769
