Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
1.114,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.3432910595643011
1.136,0.1,0.0,0.9926786289999115,0.017642306116951455,0.9905032054079894,0.013176653548710305,0.9927808881374225,0.35720909083935165
1.155,0.15,0.0,0.9853218749775211,0.035195284249450856,0.9809630450868134,0.02631725722484162,0.9855141177005362,0.3710787902732636
1.176,0.21,0.0,0.9779315858804868,0.05265261723575135,0.9713820375812133,0.039417445706766426,0.9782016519655362,0.3848947519233046
1.196,0.26,0.0,0.9705096213286589,0.07000808104551882,0.9617627180874371,0.052472901444161266,0.9708454794512663,0.39865161506763425
1.216,1.05,0.0,0.963057851554316,0.08725554959869229,0.9521076369762994,0.06547935779616304,0.9634476126057205,0.4123440685934794
1.237,1.11,0.0,0.955578156358487,0.10438899940324957,0.9424193583290648,0.07843260206469227,0.9560100864840261,0.42596685528156447
1.279,1.16,0.0,0.9480724240835204,0.1214025140085541,0.9327004584861288,0.09132847842161183,0.9485349574191633,0.43951477598105887
1.361,1.22,0.0,0.9405425506019284,0.13829028827152712,0.9229535246083458,0.10416289072875372,0.9410243016866583,0.4529826936695696
1.403,1.27,0.0,0.9329904383214171,0.15504663243344358,0.9131811532506987,0.11693180525019833,0.9334802141644515,0.46636553739298214
1.445,1.33,-0.12,0.9254179952059118,0.17166597600566685,0.9033859489478995,0.12963125325651617,0.9259048069891335,0.47965830608019705
1.505,1.38,-0.28,0.9178271338123125,0.18814287146304678,0.8935705228114332,0.14225733352091205,0.9183002082097149,0.49285607222808
1.588,1.44,-0.07,0.9102197703427378,0.20447199774384864,0.8837374911376064,0.15480621470721082,0.9106685604400383,0.5059539854523107
1.608,1.49,-0.12,0.9025978237120852,0.22064816355500658,0.8738894740262992,0.16727413764939833,0.9030120195108282,0.518947275900409
1.671,1.55,-0.25,0.8949632146307427,0.23666631048162834,0.8640290940102234,0.17965741752229164,0.8953327531222237,0.5318312575239716
1.753,1.6,-0.35,0.8873178647021382,0.2525215159003688,0.8541589746944094,0.19195244590316102,0.887632939497541,0.5446013312078165
1.773,1.66,-0.27,0.879663695534572,0.26820899569729856,0.8442817394054719,0.20415569272464518,0.8799147660389485,0.5572529877541268
1.834,1.71,-0.39,0.8720026278665741,0.2837241067917658,0.8344000098500186,0.21626370811978823,0.8721804279856713,0.5697818107200471
