Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
1.354,0.04,0.0,0.007801184119053509,0.420811894723962,0.23587309073745505,0.8427465794950199,0.23934247846876433,0.24739244649687617
1.374,0.1,0.0,0.009233029889806099,0.4186599755171102,0.2353215592512437,0.8430037077742177,0.23891428529285233,0.24920655022413804
1.394,0.15,0.0,0.01069621146189175,0.416499137202173,0.23479024352728972,0.8432578736148635,0.23851896269285347,0.25099334397570877
1.416,0.21,0.0,0.012190236893221264,0.41433015417075386,0.23427932944746735,0.8435089346928341,0.23815673288837313,0.25275180327848673
1.437,0.26,0.0,0.013714587742700641,0.4121538054385088,0.23378898166809423,0.8437567504464759,0.23782778680693537,0.2544809188283783
1.457,1.06,0.0,0.015268719560746177,0.4099708738857713,0.2333193434025282,0.8440011822117313,0.23753228380030617,0.2561796972882057
1.478,1.12,0.0,0.01685206242016167,0.40778214549478076,0.23287053624005274,0.8442420933559178,0.23727035141036204,0.25784716206853425
1.539,1.17,0.0,0.018464021486410048,0.40558840858499784,0.2324426600016414,0.8444793494100103,0.23704208518507952,0.2594823540913236
1.601,1.23,0.0,0.020103977626203345,0.40339045304801485,0.23203579263311458,0.8447128181992634,0.23684754854510545,0.2610843325363738
1.724,1.28,0.0,0.02177128805322457,0.40118906958359696,0.2316499901361265,0.844942369972007,0.23668677270124971,0.2626521755706004
1.744,1.34,0.02,0.023465287009684803,0.3989850489384233,0.2312852865373421,0.8451678775264455,0.2365597566231274,0.264184981060232
1.785,1.39,-0.01,0.025185286482311903,0.3967791811491178,0.2309416938960887,0.8453892163352709,0.23646646705906366,0.2656818672660703
1.806,1.45,-0.03,0.02693057695129118,0.39457225479116614,0.2306192023506897,0.8456062646678953,0.23640683860726588,0.26714197352195523
1.869,1.5,-0.03,0.028700428170667192,0.39236505623525525,0.23031778020361093,0.8458189037100401,0.23638077383815762,0.26856446089653424
